
2022-01-05 12:14:11, step=600, steptime=0.408, cls_loss=8.53, cls_loss_rt=4.98, loc_loss=2.18, loc_loss_rt=1.16, rpn_acc=0.993, prec@10=0.0926, rec@10=0.376, prec@30=0.0905, rec@30=0.175, prec@50=0.0704, rec@50=0.0835, prec@70=0.0524, rec@70=0.0322, prec@80=0.042, rec@80=0.016, prec@90=0.0258, rec@90=0.00469, prec@95=0.0153, rec@95=0.00142, loss.loc_elem=[0.04, 0.0256, 0.189, 0.0439, 0.0661, 0.0584, 0.154], loss.cls_pos_rt=2.21, loss.cls_neg_rt=1.66, num_vox=11130, num_pos=58, num_neg=20867, num_anchors=21005, lr=0.0015, image_idx=[5454], eta=33:35:29
2022-01-05 12:14:32, step=650, steptime=0.478, cls_loss=8.25, cls_loss_rt=6.45, loc_loss=2.11, loc_loss_rt=1.31, rpn_acc=0.993, prec@10=0.0992, rec@10=0.392, prec@30=0.102, rec@30=0.188, prec@50=0.0835, rec@50=0.0934, prec@70=0.0655, rec@70=0.0379, prec@80=0.0543, rec@80=0.0194, prec@90=0.0363, rec@90=0.00615, prec@95=0.0232, rec@95=0.002, loss.loc_elem=[0.0275, 0.0251, 0.164, 0.0302, 0.0531, 0.0481, 0.309], loss.cls_pos_rt=3.53, loss.cls_neg_rt=1.15, num_vox=12335, num_pos=69, num_neg=16301, num_anchors=16474, lr=0.0015, image_idx=[4184], eta=39:18:47
2022-01-05 12:14:55, step=700, steptime=0.418, cls_loss=8.0, cls_loss_rt=5.44, loc_loss=2.04, loc_loss_rt=1.33, rpn_acc=0.993, prec@10=0.106, rec@10=0.406, prec@30=0.115, rec@30=0.203, prec@50=0.0991, rec@50=0.106, prec@70=0.0831, rec@70=0.0456, prec@80=0.0731, rec@80=0.0248, prec@90=0.0546, rec@90=0.00875, prec@95=0.0376, rec@95=0.00306, loss.loc_elem=[0.0376, 0.0398, 0.214, 0.0373, 0.0703, 0.0566, 0.209], loss.cls_pos_rt=2.41, loss.cls_neg_rt=1.82, num_vox=12190, num_pos=79, num_neg=17651, num_anchors=17834, lr=0.0015, image_idx=[6886], eta=34:23:43
2022-01-05 12:15:17, step=750, steptime=0.413, cls_loss=7.79, cls_loss_rt=5.77, loc_loss=1.98, loc_loss_rt=1.37, rpn_acc=0.994, prec@10=0.112, rec@10=0.418, prec@30=0.127, rec@30=0.215, prec@50=0.112, rec@50=0.113, prec@70=0.0966, rec@70=0.0503, prec@80=0.0861, rec@80=0.0276, prec@90=0.0646, rec@90=0.00977, prec@95=0.0431, rec@95=0.0033, loss.loc_elem=[0.0245, 0.0196, 0.249, 0.0305, 0.064, 0.0332, 0.263], loss.cls_pos_rt=3.14, loss.cls_neg_rt=1.06, num_vox=11579, num_pos=65, num_neg=9730, num_anchors=9893, lr=0.0015, image_idx=[215], eta=33:59:42
2022-01-05 12:15:39, step=800, steptime=0.419, cls_loss=7.59, cls_loss_rt=4.74, loc_loss=1.93, loc_loss_rt=0.99, rpn_acc=0.994, prec@10=0.117, rec@10=0.43, prec@30=0.138, rec@30=0.226, prec@50=0.126, rec@50=0.123, prec@70=0.114, rec@70=0.0572, prec@80=0.105, rec@80=0.0323, prec@90=0.0815, rec@90=0.0118, prec@95=0.0584, rec@95=0.00425, loss.loc_elem=[0.0266, 0.0154, 0.15, 0.027, 0.0631, 0.0465, 0.166], loss.cls_pos_rt=2.1, loss.cls_neg_rt=1.59, num_vox=12117, num_pos=47, num_neg=19971, num_anchors=20095, lr=0.0015, image_idx=[3361], eta=34:28:41
2022-01-05 12:16:01, step=850, steptime=0.413, cls_loss=7.43, cls_loss_rt=3.59, loc_loss=1.89, loc_loss_rt=0.862, rpn_acc=0.994, prec@10=0.122, rec@10=0.44, prec@30=0.149, rec@30=0.236, prec@50=0.14, rec@50=0.132, prec@70=0.129, rec@70=0.062, prec@80=0.12, rec@80=0.0353, prec@90=0.0939, rec@90=0.013, prec@95=0.0664, rec@95=0.0046, loss.loc_elem=[0.02, 0.0204, 0.159, 0.0185, 0.0786, 0.0272, 0.108], loss.cls_pos_rt=1.49, loss.cls_neg_rt=1.36, num_vox=11437, num_pos=56, num_neg=14729, num_anchors=14876, lr=0.0015, image_idx=[5160], eta=33:57:56
2022-01-05 12:16:23, step=900, steptime=0.475, cls_loss=7.27, cls_loss_rt=4.18, loc_loss=1.84, loc_loss_rt=1.05, rpn_acc=0.994, prec@10=0.128, rec@10=0.451, prec@30=0.16, rec@30=0.248, prec@50=0.154, rec@50=0.141, prec@70=0.147, rec@70=0.0686, prec@80=0.14, rec@80=0.04, prec@90=0.114, rec@90=0.0152, prec@95=0.0802, rec@95=0.00532, loss.loc_elem=[0.0232, 0.0139, 0.213, 0.0316, 0.0336, 0.039, 0.173], loss.cls_pos_rt=1.95, loss.cls_neg_rt=1.26, num_vox=11128, num_pos=63, num_neg=11396, num_anchors=11555, lr=0.0015, image_idx=[310], eta=39:05:56
2022-01-05 12:16:45, step=950, steptime=0.475, cls_loss=7.12, cls_loss_rt=4.3, loc_loss=1.8, loc_loss_rt=0.882, rpn_acc=0.994, prec@10=0.132, rec@10=0.459, prec@30=0.169, rec@30=0.255, prec@50=0.166, rec@50=0.147, prec@70=0.16, rec@70=0.072, prec@80=0.153, rec@80=0.0422, prec@90=0.125, rec@90=0.016, prec@95=0.0872, rec@95=0.00553, loss.loc_elem=[0.0253, 0.0128, 0.127, 0.0308, 0.0618, 0.032, 0.151], loss.cls_pos_rt=1.98, loss.cls_neg_rt=1.33, num_vox=11332, num_pos=53, num_neg=6805, num_anchors=6939, lr=0.0015, image_idx=[3576], eta=39:03:47
2022-01-05 12:17:07, step=1000, steptime=0.474, cls_loss=6.99, cls_loss_rt=3.87, loc_loss=1.77, loc_loss_rt=1.07, rpn_acc=0.994, prec@10=0.136, rec@10=0.468, prec@30=0.178, rec@30=0.263, prec@50=0.178, rec@50=0.154, prec@70=0.176, rec@70=0.0771, prec@80=0.171, rec@80=0.0459, prec@90=0.141, rec@90=0.0175, prec@95=0.0995, rec@95=0.00608, loss.loc_elem=[0.0206, 0.0218, 0.202, 0.0311, 0.0798, 0.0406, 0.137], loss.cls_pos_rt=1.87, loss.cls_neg_rt=1.07, num_vox=10407, num_pos=60, num_neg=20298, num_anchors=20437, lr=0.0015, image_idx=[3513], eta=38:58:58
2022-01-05 12:17:30, step=1050, steptime=0.468, cls_loss=6.88, cls_loss_rt=6.02, loc_loss=1.73, loc_loss_rt=0.998, rpn_acc=0.995, prec@10=0.14, rec@10=0.475, prec@30=0.187, rec@30=0.271, prec@50=0.19, rec@50=0.16, prec@70=0.19, rec@70=0.0808, prec@80=0.185, rec@80=0.0482, prec@90=0.153, rec@90=0.0184, prec@95=0.11, rec@95=0.00645, loss.loc_elem=[0.0256, 0.0173, 0.179, 0.0523, 0.0384, 0.0413, 0.145], loss.cls_pos_rt=2.63, loss.cls_neg_rt=2.08, num_vox=15015, num_pos=58, num_neg=15351, num_anchors=15491, lr=0.0015, image_idx=[6835], eta=38:27:32
